date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:36	220006/220006	---M--	200	added ('OK')	image/jpeg	etag:%225d15cad3-35b66%22	https://icbargentina.com/media/landings/2019/06/certified_TQUcVR3.jpeg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/landings/2019/06/certified_TQUcVR3.jpg	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:36	20973/20973	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-51ed%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.6/umd/popper.min.js	C:/Mis%20lugares%20Web/FINANZAS/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.6/umd/popper.min.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:37	55775/55775	---MCZ	200	added ('OK')	application/javascript	etag:W/%226895e8cd60b62646ce12426015888f58%22	https://stackpath.bootstrapcdn.com/bootstrap/4.2.1/js/bootstrap.min.js	C:/Mis%20lugares%20Web/FINANZAS/stackpath.bootstrapcdn.com/bootstrap/4.2.1/js/bootstrap.min.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:37	3761/3761	---MCZ	200	added ('OK')	application/javascript	etag:W/%22586ab4cf-eb1%22	https://icbargentina.com/static/blog/js/jquery.countTo.js	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/blog/js/jquery.countTo.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:38	22797/22797	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ea6-590d%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/js/intlTelInput.min.js	C:/Mis%20lugares%20Web/FINANZAS/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/js/intlTelInput.min.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:38	1525/1525	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264000b80-5f5%22	https://icbargentina.com/static/new/custom.js?v=20230301-01	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/custom9cd1.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:39	220737/220737	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258b60fec-35e41%22	https://icbargentina.com/static/blog/js/utils.js?v=1	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/blog/js/utils3860.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:39	3369/3369	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cfdf8ec-d29%22	https://icbargentina.com/static/new/carousel_multi.js?v=1	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/carousel_multi3860.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:40	54922/54922	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7b5045-d68a%22	https://icbargentina.com/static/blog/js/countries.js?v=1	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/blog/js/countries3860.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:40	2472/2472	---MCZ	200	added ('OK')	application/javascript	etag:W/%226306d710-9a8%22	https://icbargentina.com/static/blog/js/contact.js?v=3	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/blog/js/contact30f4.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
